425, количество городов (предел 1500);
Gorod;tн1;tн2;tн3;n
Канск (Красноярский край);-42;-20.2;-8.8;237 
Кежма (Красноярский край);-48;-27.4;-12.3;252 
Ключи (Красноярский край);-39;-17.7;-7.4;240 
Красноярск (Красноярский край);-40;-18.2;-7.1;234 
Минусинск (Красноярский край);-40;-20.8;-8.8;225 
Таимба (Красноярский край);-51;-30.1;-13.6;264 
Троицкое (Красноярский край);-47;-22.8;-9.8;251 
Тура - Эвенкийский АО (Красноярский край);-55;-36.5;-16.9;271 
Туруханск (Красноярский край);-50;-27.2;-12.9;279 
Хатанга - Таймырский АО (Красноярский край);-49;-33.1;-17.1;311 
Челюскин. мыс -Таймырский АО (Красноярский край);-41;-28.5;-14.7;365 
Ярцево (Красноярский край);-47;-23.6;-10.8;254 
Курган (Курганская обл.);-37;-17.7;-7.7;216 
Курск (Курская обл.);-26;-9.3;-2.4;198 
Липецк (Липецкая обл.);-27;-10.3;-3.4;202 
Свирица (Ленинградская обл.);-29;-9.8;-2.9;228 
Тихвин (Ленинградская обл.);-29;-10.5;-2.8;227 
Санкт-Петербург (Ленинградская обл.);-26;-7.8;-1.8;220 
Аркагала (Магаданская обл.);-51;-19.6;-19;289 
Брохово (Магаданская обл.);-36;-36.8;-8.7;285 
Магадан (Нагаева. бухта) (Магаданская обл.);-29;-17.0;-7.1;288 
Омсукчан (Магаданская обл.);-50;-33.4;-17.2;286 
Палатка (Магаданская обл.);-38;-22.1;-10.7;280 
Среднекан (Магаданская обл.);-52;-36.6;-19.3;274 
Сусуман (Магаданская обл.);-55;-38.2;-19.9;286 
Йошкар-Ола (р. Марий Эл);-34;-14.0;-5.1;220 
Саранск (р. Мордовия);-30;-12.3;-4.5;209 
Дмитров (Московская обл.);-28;-10.4;-3.1;216 
Кашира (Московская обл.);-27;-10.9;-3.4;212 
Москва (Московская обл.);-28;-10.2;-3.1;214 
Вайда-Губа (Мурманская обл.);-17;-5.6;-0.7;294 
Кандалакша (Мурманская обл.);-30;-11.8;-3.9;266 
Ковдор (Мурманская обл.)м;-34;-13.5;-5.2;276 
Краснощелье (Мурманская обл.);-32;-13.2;-5;279 
Ловозеро (Мурманская обл.);-31;-13.2;-5;281 
Мончегорск (Мурманская обл.);-30;-12.8;-4.5;271 
Мурманск (Мурманская обл.);-27;-10.5;-3.2;275 
Ниванкюль (Мурманская обл.);-36;-13.1;-4.6;271 
Пулозеро (Мурманская обл.);-35;-13.4;-4.8;277 
Пялица (Мурманская обл.);-25;-10.0;-2.8;298 
Териберка (Мурманская обл.);-21;-7.8;-2;286 
Терско-Орловский (Мурманская обл.);-22;-9.9;-2.5;312 
Умба (Мурманская обл.);-29;-11.0;-3.7;265 
Юкспор (Мурманская обл.);-24;-12.2;-4.5;340 
Арзамас (Нижегородская обл.);-32;-12.4;-4.7;216 
Выкса (Нижегородская обл.);-30;-11.3;-4;212 
Нижний Новгород (Нижегородская обл.);-31;-11.8;-4.1;215 
Новгород (Новгородская обл.);-27;-8.7;-2.3;221 
Барабинск (Новосибирская обл.);-39;-19.9;-9;230 
Болотное (Новосибирская обл.);-39;-18.5;-8.2;231 
Карасук (Новосибирская обл.);-37;-19.4;-8.9;218 
Кочки (Новосибирская обл.);-39;-19.6;-8.9;228 
Купино (Новосибирская обл.);-38;-19.6;-9;224 
Кыштовка (Новосибирская обл.);-40;-20.3;-8.9;231 
Новосибирск (Новосибирская обл.)м;-39;-18.8;-8.7;230 
Татарск (Новосибирская обл.);-39;-19.6;-8.9;229 
Чулым (Новосибирская обл.);-39;-19.5;-8.8;230 
Омск (Омская обл.);-37;-19.0;-8.4;221 
Тара (Омская обл.);-40;-19.9;-8.8;234 
Черлак (Омская обл.);-37;-19.2;-8.7;217 
Оренбург (Оренбургская обл.);-31;-14.8;-6.3;202 
Орел (Орловская обл.);-26;-9.7;-2.7;205 
Земетчино (Пензенская обл.);-29;-11.6;-4.2;208 
Пенза (Пензенская обл.);-29;-12.2;-4.5;207 
Бисер (Пермская обл.);-36;-17.5;-6.8;254 
Пермь (Пермская обл.);-35;-15.3;-5.9;229
Анучино (Приморский край);-31;-20.3;-8.1;203
Астраханка (Приморский край);-26;-17.7;-6.6;202
Богополь (Приморский край);-21;-13.3;-4.2;208
Владивосток (Приморский край);-24;-13.1;-3.9;196
Дальнереченск (Приморский край);-31;-20.5;-8.5;205
Мельничное (Приморский край);-32;-22.9;-9.3;225
Партизанск (Приморский край);-22;-13.4;-4.5;198
Посьет (Приморский край);-19;-10.6;-2.9;192
Преображение (Приморский край);-17;-8.7;-1.6;205
Рудная Пристань (Приморский край);-20;-11.9;-3.1;219
Чугуевка (Приморский край);-32;-21.3;-8.6;211
Великие Луки (Псковская обл.);-27;-8.6;-1.9;212
Псков (Псковская обл.);-26;-7.5;-1.6;212
Миллерово (Ростовская обл.);-25;-8.1;-2.1;184
Ростов-на-Дону (Ростовская обл.);-22;-5.7;-0.6;171
Таганрог (Ростовская обл.);-22;-5.2;-0.4;167
Рязань (Рязанская обл.);-27;-11.0;-3.5;208
Самара (Самарская обл.);-30;-13.5;-5.2;203
Верхотурье (Свердловская обл.);-37;-17.3;-6.8;236
Екатеринбург (Свердловская обл.);-35;-15.5;-6;230
Ивдель (Свердловская обл.);-39;-19.1;-7.4;245
Саратов (Саратовская обл.);-27;-11.0;-4.3;196
